Date,Open,High,Low,Close,Volume
04/05/2008 00:00,861.6,889.3,860.2,884.3,30660
11/05/2008 00:00,885.1,904.4,859.6,902.1,35014
18/05/2008 00:00,905.1,934.9,900.5,924.5,29977
25/05/2008 00:00,923.9,930.5,870.4,886.3,28540
01/06/2008 00:00,886.8,901.9,864.6,901.8,32994
08/06/2008 00:00,903.4,908.8,857.1,868.8,30335
15/06/2008 00:00,872,908.3,866.3,901.6,33999
22/06/2008 00:00,903.6,930.4,873.2,927.3,34472
29/06/2008 00:00,929.3,946.2,918.2,933.6,32994
06/07/2008 00:00,932,967.4,912.4,963.7,42404
13/07/2008 00:00,963.7,988,949.5,954.5,47342
20/07/2008 00:00,956.1,975.7,916.5,929.1,36461
27/07/2008 00:00,928.1,932.9,893.6,910.3,35099
03/08/2008 00:00,912.7,915.1,850.5,856.2,42810
10/08/2008 00:00,861.3,865.6,772.6,787.1,53143
17/08/2008 00:00,793.1,838.8,781.9,822.7,43048
24/08/2008 00:00,822.1,843.7,806.6,830.7,41059
31/08/2008 00:00,833.8,835.1,789.1,803.3,41027
07/09/2008 00:00,812.3,817.8,735.9,764.9,48023
14/09/2008 00:00,778.6,909.7,764.2,872.8,54178
21/09/2008 00:00,878.5,911.2,861.7,877.8,55401
28/09/2008 00:00,871.5,923.9,819,835.3,68987
05/10/2008 00:00,829,931.1,825.4,849.6,56296
12/10/2008 00:00,862.5,871.9,772.4,782.8,51104
19/10/2008 00:00,786.1,809.7,681.4,733.2,68061
26/10/2008 00:00,736.7,777.2,706.6,723.7,57169
02/11/2008 00:00,728.2,767.5,721.4,735.8,57616
09/11/2008 00:00,750.6,767.9,699.7,741.2,63046
16/11/2008 00:00,739.4,801.3,730.6,800,65227
23/11/2008 00:00,801.7,830.5,785.9,816,47457
30/11/2008 00:00,815.1,815.2,741.1,755.7,81194
07/12/2008 00:00,758.4,834.3,758.3,821.3,56369
14/12/2008 00:00,827.8,881.5,822.1,837.5,65842
21/12/2008 00:00,839.7,871.1,829.9,867,43117
28/12/2008 00:00,875.1,887.8,855.3,874.6,24215
04/01/2009 00:00,882.6,884,836.3,853,89645
11/01/2009 00:00,852.7,853.6,801.9,841.7,67615
18/01/2009 00:00,840.6,902.7,823.2,898.7,75377
25/01/2009 00:00,896.4,929.2,874.2,926.5,84000
01/02/2009 00:00,923.7,924.8,888.9,910.7,53187
08/02/2009 00:00,906.3,952.2,890.4,941,56925
15/02/2009 00:00,940.6,1005.9,935.7,992.1,29837
22/02/2009 00:00,995.2,997.7,927.5,941.6,57976
01/03/2009 00:00,947.5,957.9,899.5,938.6,121707
08/03/2009 00:00,937.4,940.3,890.8,929,118356
15/03/2009 00:00,925.1,966.7,883,951.4,141233
22/03/2009 00:00,950.6,956.7,916.1,922.4,105604
29/03/2009 00:00,923.8,932.6,890.3,892.4,124407
05/04/2009 00:00,892.3,893.6,865.1,881.15,120347
12/04/2009 00:00,883.95,899.73,864.78,868.25,225884
19/04/2009 00:00,868.51,913.73,864.54,912.5,173890
26/04/2009 00:00,915.6,918.1,880.03,886.05,139150
03/05/2009 00:00,886.7,925.28,885.1,915.9,143694
10/05/2009 00:00,915.65,933.98,908.36,931.15,93694
17/05/2009 00:00,930.97,960.92,915.82,956.95,105771
24/05/2009 00:00,956.88,980.02,941.11,978.57,109287
31/05/2009 00:00,976.74,989.63,952.4,954.79,174866
07/06/2009 00:00,954.39,965.02,936.23,938.8,126424
14/06/2009 00:00,935.4,941.65,925.23,933.48,90734
21/06/2009 00:00,933.65,948.15,912.88,939.1,148417
28/06/2009 00:00,936.28,945.68,923.54,931.5,108197
05/07/2009 00:00,929.75,931.33,904.78,912.58,88011
12/07/2009 00:00,913.77,941.78,907.73,936.95,89739
19/07/2009 00:00,938.33,957.15,937.95,950.92,125688
26/07/2009 00:00,949.62,958.68,925.48,953.5,149432
02/08/2009 00:00,952.97,971.46,951,954.45,193694
09/08/2009 00:00,953.95,960.36,939.88,948.05,180218
16/08/2009 00:00,947.59,957.65,930.08,953.24,146791
23/08/2009 00:00,953.28,961.39,939.66,954.42,175663
30/08/2009 00:00,955.92,997.16,944.43,993.37,180835
06/09/2009 00:00,994.25,1011.57,982.57,1004.71,174407
